date,time,record
2019-04-04,11:40:31,test
2019-04-04,11:42:57,come on
2019-04-04,12:07:47,Q10Viking
2019-04-04,12:09:36,fix save exit success
2019-04-04,12:14:27,Test in win10
2019-04-04,13:33:40,ubunut测试
2019-04-04,16:11:58,解决了ubuntu显示问题
2019-04-04,16:47:11,自动关闭软件

2019-04-05,00:57:22,时间错误修改成功
2019-04-05,01:00:50,ubuntu测试成功
2019-04-05,01:03:48,测试提交到github
2019-04-05,01:05:17,测试提交到github
2019-04-05,01:10:35,修改README.md
2019-04-05,08:01:27,ubuntu下解决不能启动网易云音乐
2019-04-05,09:03:34,居然忘记自己做什么，震惊才一个小时
2019-04-05,09:22:52,测试随时记录
2019-04-05,10:00:38,sphinx学习
2019-04-05,11:00:53,锁屏幕的情况下不能弹出该窗口
2019-04-05,12:10:52,吃午饭啦啦啦
